(Reais Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
1.01.06.01,Tributos Correntes a Recuperar,"  97,122 ","  93,072 ","  98,244 ","  104,423 ","  107,182 ","  118,144 ","  127,932 ","  139,791 ","  156,076 ","  166,464 ","  195,200 ","  188,416 ","  183,627 ","  158,070 ","  170,070 ","  166,574 ","  166,384 ","  148,947 ","  153,858 ","  149,674 ","  159,446 ","  189,977 ","  214,644 ","  234,592 ","  266,944 ","  276,560 ","  276,319 ","  264,717 ","  269,626 ","  280,273 ","  342,081 ","  367,578 ","  419,845 ","  490,067 ","  442,556 ","  453,081 ","  421,938 ","  490,132 ","  527,774 ","  462,029 ","  394,839 ","  485,623 ","  434,018 ","  353,672 "
1.01.08,Outros Ativos Circulantes,"  80,667 ","  71,200 ","  98,672 ","  82,257 ","  80,167 ","  80,934 ","  85,136 ","  83,969 ","  109,364 ","  113,266 ","  136,402 ","  142,371 ","  183,778 ","  209,216 ","  213,290 ","  172,566 ","  208,034 ","  167,962 ","  191,656 ","  263,426 ","  181,547 ","  420,136 ","  253,375 ","  330,294 ","  332,460 ","  337,098 ","  279,492 ","  267,207 ","  266,931 ","  285,341 ","  276,377 ","  267,765 ","  327,212 ","  311,873 ","  350,569 ","  600,766 ","  587,501 ","  779,570 ","  435,384 ","  361,303 ","  411,579 ","  422,252 ","  429,710 ","  479,467 "
1.01.08.03,Outros,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  208,034 ",  -   ,  -   ,  -   ,"  181,547 ","  420,136 ","  253,375 ","  330,294 ","  332,460 ","  337,098 ","  279,492 ","  267,207 ","  266,931 ","  285,341 ","  276,377 ","  267,765 ","  327,212 ","  311,873 ","  350,569 ","  600,766 ","  587,501 ","  779,570 ","  435,384 ","  361,303 ","  411,579 ","  422,252 ","  429,710 ","  479,467 "
1.01.08.03.03,Instrumentos Financeiros Derivativos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,163 ",  -   ,  -   ,  -   ,"  8,766 ","  198,978 ","  25,990 ","  27,174 ","  7,519 ","  3,706 ","  18,356 ","  9,816 ","  15,443 ","  15,622 ","  5,200 ","  9,273 ","  11,875 ","  7,180 ","  6,860 ","  204,061 ","  223,774 ","  258,327 ","  64,995 ","  62,967 ","  24,102 ","  25,351 ","  24,088 ","  40,374 "
1.01.08.03.04,Outros,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  206,871 ",  -   ,  -   ,  -   ,"  172,781 ","  221,158 ","  227,385 ","  303,120 ","  324,941 ","  333,392 ","  261,136 ","  257,391 ","  251,488 ","  269,719 ","  271,177 ","  258,492 ","  315,337 ","  304,693 ","  343,709 ","  396,705 ","  363,727 ","  521,243 ","  370,389 ","  298,336 ","  387,477 ","  396,901 ","  405,622 ","  439,093 "
1.02,Ativo Não Circulante,"  2,609,908 ","  2,613,250 ","  2,751,914 ","  2,736,832 ","  2,717,155 ","  2,692,529 ","  2,909,923 ","  2,953,820 ","  3,238,800 ","  3,345,274 ","  3,089,585 ","  3,100,015 ","  3,163,533 ","  3,185,694 ","  3,203,428 ","  3,245,205 ","  3,290,012 ","  3,295,814 ","  3,476,064 ","  3,617,586 ","  3,719,417 ","  3,904,709 ","  4,092,125 ","  4,610,559 ","  4,672,197 ","  4,745,226 ","  4,400,121 ","  4,452,802 ","  4,353,924 ","  4,351,804 ","  4,498,649 ","  4,501,510 ","  4,565,475 ","  4,952,541 ","  5,495,668 ","  6,199,009 ","  5,961,269 ","  6,137,139 ","  6,104,331 ","  5,829,580 ","  5,926,739 ","  6,770,627 ","  7,180,332 ","  7,467,114 "
1.02.01,Ativo Realizável a Longo Prazo,"  193,814 ","  170,517 ","  163,413 ","  149,892 ","  136,984 ","  127,146 ","  358,414 ","  378,587 ","  432,469 ","  447,124 ","  81,920 ","  80,004 ","  88,833 ","  107,528 ","  98,741 ","  118,883 ","  124,372 ","  134,326 ","  124,207 ","  127,245 ","  161,644 ","  155,231 ","  315,507 ","  569,135 ","  619,206 ","  519,234 ","  364,795 ","  436,183 ","  397,383 ","  361,506 ","  438,946 ","  410,395 ","  443,844 ","  458,496 ","  791,825 ","  1,391,073 ","  1,178,926 ","  1,117,861 ","  1,106,020 ","  653,154 ","  597,797 ","  925,110 ","  1,056,425 ","  1,107,252 "
1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo através do Resultado,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  226,057 ","  233,266 ","  280,635 ","  287,973 ",  657 ,  670 ,"  2,032 ","  2,059 ","  2,027 ","  2,077 ","  2,230 ","  2,097 ","  1,415 ",  907 ,"  1,047 ","  1,118 ",  -   ,  -   ,  214 ,  203 ,  178 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  630,638 ","  562,782 ","  566,641 ","  573,757 ","  48,646 ",  -   ,  -   ,  -   ,  -   
1.02.01.01.01,Títulos Designados a Valor Justo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  280,635 ","  287,973 ",  657 ,  670 ,"  2,032 ","  2,059 ","  2,027 ","  2,077 ","  2,230 ","  2,097 ","  1,415 ",  907 ,"  1,047 ","  1,118 ",  -   ,  -   ,  214 ,  203 ,  178 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  630,638 ","  562,782 ","  566,641 ","  573,757 ","  48,646 ",  -   ,  -   ,  -   ,  -   
1.02.01.06,Tributos Diferidos,"  101,739 ","  89,481 ","  97,859 ","  91,613 ","  78,810 ","  86,060 ","  89,776 ","  103,846 ","  111,488 ","  115,265 ","  35,441 ","  32,190 ","  36,891 ","  43,337 ","  40,762 ","  56,970 ","  60,376 ","  68,870 ","  58,767 ","  59,208 ","  55,864 ","  68,602 ","  77,962 ","  108,749 ","  131,327 ","  128,315 ","  122,810 ","  127,848 ","  130,291 ","  134,327 ","  145,110 ","  147,137 ","  148,284 ","  166,032 ","  174,450 ","  164,913 ","  142,669 ","  150,460 ","  148,729 ","  161,581 ","  182,042 ","  188,520 ","  255,098 ","  292,342 "
