(Reais Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código da Conta,Descrição da Conta,12/31/2009,3/31/2010,6/30/2010,9/30/2010,12/31/2010,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020,6/30/2020,9/30/2020
1.02.02.01.01,Participações em Coligadas,  -   ,"  14,730 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  18,102 ","  19,981 ","  19,981 ","  19,559 ","  19,559 ","  28,007 ","  35,401 ","  35,398 ","  44,851 "
1.02.02.01.04,Outros Investimentos,"  16,041 ","  2,131 ",  776 ,  222 ,  601 ,"  2,199 ",  931 ,  933 ,  349 ,  349 ,  349 ,  349 ,  402 ,  357 ,  365 ,  364 ,  44 ,  -   ,  -   ,  -   ,"  1,004 ","  1,002 ","  1,379 ","  1,463 ","  1,379 ","  1,395 ",  238 ,  224 ,  223 ,  220 ,  225 ,  306 ,  268 ,"  16,923 ","  17,013 ",  376 ,  381 ,  399 ,  415 ,  85 ,  5 ,  7 ,  7 ,  819 
1.02.02.02,Propriedades para Investimento,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ","  7,220 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   
1.02.03,Imobilizado,"  2,271,193 ","  2,302,304 ","  2,388,640 ","  2,394,633 ","  2,395,575 ","  2,383,215 ","  2,375,903 ","  2,397,920 ","  2,445,760 ","  2,478,938 ","  2,513,061 ","  2,526,237 ","  2,537,094 ","  2,544,242 ","  2,570,042 ","  2,574,218 ","  2,614,556 ","  2,605,834 ","  2,680,579 ","  2,794,224 ","  2,877,942 ","  3,037,608 ","  3,030,429 ","  3,255,878 ","  3,264,898 ","  3,247,118 ","  3,092,032 ","  3,066,288 ","  3,032,716 ","  3,047,882 ","  3,104,803 ","  3,129,052 ","  3,160,111 ","  3,286,590 ","  3,406,149 ","  3,493,399 ","  3,541,954 ","  3,785,361 ","  3,790,163 ","  3,927,953 ","  3,981,184 ","  4,300,120 ","  4,530,711 ","  4,709,772 "
1.02.03.01,Imobilizado em Operação,"  2,271,193 ","  2,302,304 ","  2,388,640 ","  2,394,633 ","  2,395,575 ","  2,383,215 ","  2,375,903 ","  2,397,920 ","  2,445,760 ","  2,414,457 ","  2,438,643 ","  2,448,964 ","  2,537,094 ","  2,544,242 ","  2,570,042 ","  2,574,218 ","  2,614,556 ","  2,605,834 ","  2,680,579 ","  2,794,224 ","  2,877,942 ","  3,037,608 ","  3,030,429 ","  3,255,878 ","  3,264,898 ","  3,247,118 ","  3,092,032 ","  3,066,288 ","  3,032,716 ","  3,047,882 ","  3,104,803 ","  3,129,052 ","  3,160,111 ","  3,286,590 ","  3,406,149 ","  3,493,399 ","  3,541,954 ","  3,601,203 ","  3,586,364 ","  3,715,097 ","  3,776,561 ","  4,053,935 ","  4,206,492 ","  4,406,791 "
1.02.03.02,Direito de Uso em Arrendamento,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  184,158 ","  203,799 ","  212,856 ","  204,623 ","  246,185 ","  324,219 ","  302,981 "
1.02.03.03,Imobilizado em Andamento,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  64,481 ","  74,418 ","  77,273 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
1.02.04,Intangível,"  128,860 ","  123,568 ","  199,085 ","  192,085 ","  183,995 ","  179,969 ","  174,675 ","  176,380 ","  360,222 ","  418,863 ","  494,255 ","  493,425 ","  529,984 ","  526,347 ","  527,060 ","  544,520 ","  543,820 ","  547,563 ","  663,055 ","  687,895 ","  671,607 ","  703,648 ","  744,810 ","  784,083 ","  786,714 ","  977,479 ","  943,056 ","  950,107 ","  923,602 ","  942,196 ","  954,675 ","  961,757 ","  961,252 ","  1,190,532 ","  1,280,681 ","  1,296,059 ","  1,220,027 ","  1,213,537 ","  1,188,174 ","  1,228,829 ","  1,319,746 ","  1,509,989 ","  1,557,791 ","  1,604,420 "
1.02.04.01,Intangíveis,"  63,268 ",  -   ,  -   ,  -   ,"  43,870 ","  43,796 ","  37,678 ","  32,346 ","  28,681 ","  31,260 ","  34,758 ","  32,349 ","  31,215 ","  28,108 ","  28,180 ","  30,992 ","  40,772 ","  40,959 ","  45,445 ","  77,440 ","  81,317 ","  93,473 ","  96,516 ","  110,787 ","  117,394 ","  110,355 ","  100,389 ","  98,241 ","  161,200 ","  155,318 ","  159,760 ","  152,512 ","  142,682 ","  142,457 ","  156,801 ","  153,639 ","  225,160 ","  198,883 ","  184,858 ","  185,260 ","  201,431 ","  232,334 ","  249,147 ","  254,856 "
1.02.04.01.02,Outros,"  63,268 ",  -   ,  -   ,  -   ,"  43,870 ",  -   ,  -   ,  -   ,"  28,681 ","  31,260 ","  34,758 ","  32,349 ","  31,215 ","  28,108 ","  28,180 ","  30,992 ","  40,772 ","  40,959 ","  45,445 ","  77,440 ","  81,317 ","  93,473 ","  96,516 ","  110,787 ","  117,394 ","  110,355 ","  100,389 ","  98,241 ","  161,200 ","  155,318 ","  159,760 ","  152,512 ","  142,682 ","  142,457 ","  156,801 ","  153,639 ","  225,160 ","  198,883 ","  184,858 ","  185,260 ","  201,431 ","  232,334 ","  249,147 ","  254,856 "
1.02.04.02,Goodwill,"  65,592 ",  -   ,  -   ,  -   ,"  140,125 ","  136,173 ","  136,997 ","  144,034 ","  331,541 ","  387,603 ","  459,497 ","  461,076 ","  498,769 ","  498,239 ","  498,880 ","  513,528 ","  503,048 ","  506,604 ","  617,610 ","  610,455 ","  590,290 ","  610,175 ","  648,294 ","  673,296 ","  669,320 ","  867,124 ","  842,667 ","  851,866 ","  762,402 ","  786,878 ","  794,915 ","  809,245 ","  818,570 ","  1,048,075 ","  1,123,880 ","  1,142,420 ","  994,867 ","  1,014,654 ","  1,003,316 ","  1,043,569 ","  1,118,315 ","  1,277,655 ","  1,308,644 ","  1,349,564 "
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Passivo Total,"  6,583,066 ","  6,417,038 ","  7,343,910 ","  7,365,112 ","  7,511,164 ","  7,424,388 ","  7,979,509 ","  8,695,827 ","  9,105,861 ","  8,824,120 ","  9,109,705 ","  8,757,033 ","  8,873,550 ","  9,496,435 ","  9,542,922 ","  9,552,065 ","  10,141,293 ","  9,898,693 ","  10,362,672 ","  10,902,810 ","  11,782,630 ","  12,951,305 ","  13,121,290 ","  14,289,917 ","  14,261,541 ","  13,458,854 ","  13,048,678 ","  13,634,825 ","  13,481,407 ","  13,446,033 ","  14,181,424 ","  13,964,453 ","  13,981,142 ","  14,522,184 ","  15,464,046 ","  16,274,130 ","  15,399,850 ","  15,226,982 ","  14,907,806 ","  15,479,421 ","  15,687,641 ","  17,371,333 ","  18,007,781 ","  19,048,875 "
2.01,Passivo Circulante,"  1,698,561 ","  1,582,381 ","  1,883,425 ","  1,795,005 ","  1,938,803 ","  2,013,822 ","  2,179,394 ","  2,818,379 ","  2,752,960 ","  2,580,679 ","  3,230,080 ","  2,876,077 ","  3,012,824 ","  2,852,160 ","  2,840,488 ","  2,709,593 ","  2,578,048 ","  2,506,714 ","  2,484,307 ","  2,840,667 ","  3,379,017 ","  4,085,760 ","  4,129,670 ","  4,597,696 ","  3,494,850 ","  3,057,697 ","  3,117,248 ","  3,021,444 ","  3,278,855 ","  3,109,281 ","  3,939,327 ","  3,990,150 ","  4,326,788 ","  4,156,279 ","  4,953,204 ","  5,579,559 ","  5,034,004 ","  4,859,505 ","  4,400,792 ","  4,537,024 ","  4,491,021 ","  4,951,231 ","  4,687,927 ","  4,924,701 "
2.01.01,Obrigações Sociais e Trabalhistas,"  86,692 ","  115,619 ","  147,248 ","  167,220 ","  141,797 ","  134,958 ","  188,147 ","  188,599 ","  161,436 ","  161,850 ","  226,231 ","  223,573 ","  128,831 ","  172,007 ","  244,200 ","  231,383 ","  152,739 ","  199,637 ","  245,082 ","  271,371 ","  173,382 ","  231,686 ","  269,395 ","  313,073 ","  191,077 ","  261,940 ","  285,974 ","  319,764 ","  199,543 ","  254,819 ","  301,495 ","  340,635 ","  211,062 ","  286,691 ","  330,444 ","  370,846 ","  240,346 ","  321,938 ","  374,793 ","  423,003 ","  287,187 ","  387,619 ","  508,955 ","  564,222 "
2.01.01.01,Obrigações Sociais,"  86,692 ","  115,619 ","  147,248 ","  167,220 ","  141,797 ","  134,958 ","  188,147 ","  188,599 ","  161,436 ","  161,850 ","  226,231 ","  223,573 ","  128,831 ","  172,007 ","  244,200 ","  231,383 ","  152,739 ","  199,637 ","  245,082 ","  271,371 ","  173,382 ","  231,686 ","  269,395 ","  313,073 ","  191,077 ","  261,940 ","  285,974 ","  319,764 ","  199,543 ","  254,819 ","  301,495 ","  340,635 ","  211,062 ","  286,691 ","  330,444 ","  370,846 ","  240,346 ","  321,938 ","  374,793 ","  423,003 ","  287,187 ","  387,619 ","  508,955 ","  564,222 "
2.01.02,Fornecedores,"  188,779 ","  206,530 ","  289,674 ","  273,823 ","  242,300 ","  259,762 ","  295,775 ","  317,125 ","  298,195 ","  329,571 ","  349,350 ","  321,473 ","  331,037 ","  365,492 ","  362,605 ","  362,428 ","  420,250 ","  379,952 ","  420,498 ","  512,394 ","  445,577 ","  594,308 ","  549,136 ","  671,967 ","  566,769 ","  502,294 ","  479,139 ","  519,466 ","  562,851 ","  612,122 ","  640,286 ","  668,828 ","  750,533 ","  780,109 ","  973,788 ","  878,547 ","  842,957 ","  820,402 ","  809,232 ","  797,051 ","  839,879 ","  1,107,393 ","  928,897 ","  1,239,930 "
2.01.03,Obrigações Fiscais,"  78,639 ","  46,564 ","  52,503 ","  73,452 ","  72,204 ","  68,362 ","  94,022 ","  63,632 ","  88,474 ","  84,450 ","  85,137 ","  113,478 ","  126,655 ","  103,069 ","  113,854 ","  138,569 ","  139,570 ","  137,847 ","  102,357 ","  120,509 ","  148,335 ","  163,946 ","  120,338 ","  151,490 ","  121,461 ","  120,842 ","  110,354 ","  117,928 ","  125,062 ","  123,750 ","  129,302 ","  126,410 ","  102,944 ","  137,200 ","  141,475 ","  150,240 ","  88,183 ","  147,729 ","  144,544 ","  131,513 ","  134,510 ","  165,839 ","  194,686 ","  228,293 "
2.01.03.01,Obrigações Fiscais Federais,"  78,639 ","  46,564 ","  52,503 ","  73,452 ","  72,204 ","  68,362 ","  94,022 ","  63,632 ","  88,474 ","  84,450 ","  85,137 ","  113,478 ","  126,655 ","  103,069 ","  113,854 ","  138,569 ","  139,570 ","  137,847 ","  102,357 ","  120,509 ","  148,335 ","  163,946 ","  120,338 ","  151,490 ","  121,461 ","  120,842 ","  110,354 ","  117,928 ","  125,062 ","  123,750 ","  129,302 ","  126,410 ","  102,944 ","  137,200 ","  141,475 ","  150,240 ","  88,183 ","  147,729 ","  144,544 ","  131,513 ","  134,510 ","  165,839 ","  194,686 ","  228,293 "
2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,"  56,561 ",  -   ,  -   ,  -   ,"  41,718 ","  31,997 ","  53,979 ","  32,196 ","  44,186 ","  38,434 ","  47,986 ","  73,178 ","  72,927 ","  51,664 ","  52,277 ","  78,783 ","  83,771 ","  72,342 ","  50,330 ","  65,230 ","  84,714 ","  88,616 ","  42,681 ","  73,898 ","  28,160 ","  21,340 ","  24,985 ","  35,569 ","  29,241 ","  27,109 ","  36,473 ","  34,308 ","  29,672 ","  36,042 ","  51,123 ","  59,343 ","  24,968 ","  36,806 ","  48,517 ","  27,593 ","  31,578 ","  29,813 ","  63,720 ","  90,564 "
2.01.03.01.02,Outros,"  22,078 ",  -   ,  -   ,  -   ,"  30,486 ","  36,365 ","  40,043 ","  31,436 ","  44,288 ","  46,016 ","  37,151 ","  40,300 ","  53,728 ","  51,405 ","  61,577 ","  59,786 ","  55,799 ","  65,505 ","  52,027 ","  55,279 ","  63,621 ","  75,330 ","  77,657 ","  77,592 ","  93,301 ","  99,502 ","  85,369 ","  82,359 ","  95,821 ","  96,641 ","  92,829 ","  92,102 ","  73,272 ","  101,158 ","  90,352 ","  90,897 ","  63,215 ","  110,923 ","  96,027 ","  103,920 ","  102,932 ","  136,026 ","  130,966 ","  137,729 "
2.01.04,Empréstimos e Financiamentos,"  895,885 ","  814,274 ","  741,233 ","  841,311 ","  1,018,995 ","  1,104,366 ","  1,111,282 ","  1,797,222 ","  1,701,435 ","  1,464,198 ","  1,935,177 ","  1,617,387 ","  1,645,772 ","  1,526,274 ","  1,327,078 ","  1,114,526 ","  905,883 ","  914,246 ","  712,711 ","  918,380 ","  1,462,493 ","  1,996,255 ","  2,017,657 ","  2,107,029 ","  1,284,633 ","  1,017,473 ","  819,066 ","  866,919 ","  991,433 ","  929,526 ","  1,651,218 ","  1,740,222 ","  2,014,530 ","  1,611,873 ","  1,988,080 ","  2,653,066 ","  2,049,093 ","  1,964,060 ","  1,486,659 ","  1,456,417 ","  936,370 ","  865,571 ","  466,585 ","  296,413 "
2.01.04.01,Empréstimos e Financiamentos,"  895,885 ","  814,274 ","  741,233 ","  841,311 ","  1,018,995 ","  1,104,366 ","  1,111,282 ","  1,797,222 ","  1,701,435 ","  1,464,198 ","  1,935,177 ","  1,617,387 ","  1,645,772 ","  1,526,274 ","  1,327,078 ","  1,114,526 ","  905,883 ","  914,246 ","  712,711 ","  918,380 ","  1,462,493 ","  1,996,255 ","  2,017,657 ","  2,107,029 ","  1,284,633 ","  1,017,473 ","  819,066 ","  866,919 ","  991,433 ","  929,526 ","  1,651,218 ","  1,740,222 ","  2,014,530 ","  1,611,873 ","  1,988,080 ","  2,653,066 ","  2,049,093 ","  1,964,060 ","  1,486,659 ","  1,456,417 ","  936,370 ","  865,571 ","  466,585 ","  296,413 "
2.01.04.01.01,Em Moeda Nacional,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  637,552 ","  437,731 ","  454,881 ","  581,900 ","  642,413 ","  635,192 ","  991,418 ","  1,051,077 ","  1,300,232 ","  890,748 ","  491,033 ","  503,920 ","  175,475 ","  176,385 ","  175,902 ","  169,830 ","  87,566 ","  88,305 ","  89,458 ","  55,414 "
2.01.04.01.02,Em Moeda Estrangeira,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  647,081 ","  579,742 ","  364,185 ","  285,019 ","  349,020 ","  294,334 ","  659,800 ","  689,145 ","  714,298 ","  721,125 ","  1,497,047 ","  2,149,146 ","  1,873,618 ","  1,787,675 ","  1,310,757 ","  1,286,587 ","  848,804 ","  777,266 ","  377,127 ","  240,999 "
2.01.05,Outras Obrigações,"  448,566 ","  399,394 ","  652,767 ","  439,199 ","  463,507 ","  446,374 ","  490,168 ","  451,801 ","  503,420 ","  540,610 ","  634,185 ","  600,166 ","  780,529 ","  685,318 ","  792,751 ","  862,687 ","  959,606 ","  875,032 ","  1,003,659 ","  1,018,013 ","  1,149,230 ","  1,099,565 ","  1,173,144 ","  1,354,137 ","  1,330,910 ","  1,155,148 ","  1,422,715 ","  1,197,367 ","  1,399,966 ","  1,189,064 ","  1,217,026 ","  1,114,055 ","  1,247,719 ","  1,340,406 ","  1,519,417 ","  1,526,860 ","  1,813,425 ","  1,605,376 ","  1,585,564 ","  1,729,040 ","  2,293,075 ","  2,424,809 ","  2,588,804 ","  2,595,843 "
2.01.05.01,Passivos com Partes Relacionadas,  -   ,  -   ,  -   ,  -   ,  -   ,"  3,438 ","  1,621 ","  2,308 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.01.05.01.04,Débitos com Outras Partes Relacionadas,  -   ,  -   ,  -   ,  -   ,  -   ,"  3,438 ","  1,621 ","  2,308 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
2.01.05.02,Outros,"  448,566 ","  399,394 ","  652,767 ","  439,199 ","  463,507 ","  442,936 ","  488,547 ","  449,493 ","  503,420 ","  540,610 ","  634,185 ","  600,166 ","  780,529 ","  685,318 ","  792,751 ","  862,687 ","  959,606 ","  875,032 ","  1,003,659 ","  1,018,013 ","  1,149,230 ","  1,099,565 ","  1,173,144 ","  1,354,137 ","  1,330,910 ","  1,155,148 ","  1,422,715 ","  1,197,367 ","  1,399,966 ","  1,189,064 ","  1,217,026 ","  1,114,055 ","  1,247,719 ","  1,340,406 ","  1,519,417 ","  1,526,860 ","  1,813,425 ","  1,605,376 ","  1,585,564 ","  1,729,040 ","  2,293,075 ","  2,424,809 ","  2,588,804 ","  2,595,843 "
2.01.05.02.01,Dividendos e JCP a Pagar,"  36,849 ","  29,454 ","  59,973 ","  32,052 ","  63,440 ","  39,575 ","  78,682 ","  47,903 ","  2,804 ","  44,428 ","  84,507 ","  43,327 ","  79,381 ","  36,718 ","  89,310 ","  42,708 ","  87,723 ","  47,016 ","  121,897 ","  81,661 ","  111,707 ","  69,707 ","  143,964 ","  92,809 ","  172,484 ","  94,263 ","  177,432 ","  84,982 ","  191,365 ","  94,379 ","  175,471 ","  82,411 ","  160,892 ","  75,191 ","  144,820 ","  73,143 ","  165,441 ","  86,416 ","  162,448 ","  76,520 ","  145,376 ","  59,862 ","  213,812 ","  67,736 "
2.01.05.02.04,Adiantamento de Clientes,"  254,864 ","  221,004 ","  259,979 ","  233,844 ","  271,949 ","  278,978 ","  265,356 ","  239,143 ","  285,843 ","  286,379 ","  325,175 ","  316,697 ","  358,124 ","  306,889 ","  395,904 ","  477,696 ","  459,130 ","  469,261 ","  485,371 ","  520,966 ","  590,815 ","  564,522 ","  493,456 ","  578,720 ","  486,225 ","  434,562 ","  686,549 ","  518,105 ","  577,688 ","  544,750 ","  479,093 ","  467,451 ","  429,258 ","  611,535 ","  544,865 ","  622,430 ","  655,242 ","  541,774 ","  511,514 ","  645,819 ","  814,964 ","  903,823 ","  1,098,189 ","  1,216,807 "
2.01.05.02.05,Participação nos Lucros,"  54,088 ","  23,191 ","  39,955 ","  34,050 ","  23,583 ","  24,380 ","  22,309 ","  39,348 ","  26,314 ","  29,758 ","  20,485 ","  40,752 ","  73,559 ","  38,260 ","  24,450 ","  57,472 ","  98,005 ","  44,201 ","  73,952 ","  64,432 ","  111,173 ","  55,185 ","  91,738 ","  84,861 ","  143,897 ","  52,901 ","  88,506 ","  82,974 ","  124,764 ","  56,822 ","  94,578 ","  88,357 ","  138,788 ","  62,218 ","  107,363 ","  111,768 ","  167,941 ","  73,002 ","  117,287 ","  119,943 ","  212,608 ","  110,892 ","  179,722 ","  212,781 "
2.01.05.02.06,Instrumentos Financeiros Derivativos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  6,913 ",  -   ,  -   ,  -   ,"  2,461 ","  2,437 ","  2,579 ","  3,107 ","  1,438 ","  14,434 ","  30,816 ","  35,584 ","  37,519 ","  38,755 ","  29,890 ","  19,913 ","  12,845 ","  6,663 ","  32,693 ","  20,162 ","  12,070 ","  22,672 ","  1,785 ","  22,664 ","  13,879 ","  22,589 ","  14,280 ","  21,189 "
2.01.05.02.07,Arrendamento Mercantil,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  61,615 ","  48,220 ","  30,879 ","  49,168 ","  60,106 ","  65,184 ","  56,242 "
2.01.05.02.08,Contas a pagar - controladas no exterior,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  118,555 ",  -   ,  -   ,  -   ,"  86,384 ",  -   ,  -   ,  -   ,"  209,867 ","  223,291 ","  187,669 ","  203,786 ","  182,426 ","  151,715 ","  155,374 ","  150,460 ","  180,119 ","  171,145 ","  221,348 ","  241,994 ","  161,572 ","  294,167 ","  209,170 ","  219,848 ","  210,113 ","  292,585 ","  349,819 ","  338,075 "
2.01.05.02.09,Provisão para Garantias de Produtos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  102,857 ",  -   ,  -   ,  -   ,"  118,090 ",  -   ,  -   ,  -   ,"  155,532 ","  142,360 ","  145,707 ","  158,049 ","  168,338 ","  202,515 ","  226,746 ","  243,908 "
2.01.05.02.10,Faturamento para Entrega Futura,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  13,744 ",  -   ,  -   ,  -   ,"  155,137 ",  -   ,  -   ,  -   ,"  414,337 ","  542,527 ","  230,900 ","  171,936 "
2.01.05.02.11,Outros,"  102,765 ","  125,745 ","  292,860 ","  139,253 ","  104,535 ","  100,003 ","  122,200 ","  123,099 ","  188,459 ","  180,045 ","  204,018 ","  199,390 ","  269,465 ","  303,451 ","  283,087 ","  284,811 ","  189,280 ","  314,554 ","  322,439 ","  350,954 ","  246,690 ","  407,714 ","  441,407 ","  594,640 ","  316,999 ","  335,697 ","  251,743 ","  271,936 ","  183,347 ","  302,643 ","  282,620 ","  305,463 ","  193,983 ","  413,654 ","  468,328 ","  457,363 ","  340,490 ","  383,370 ","  389,433 ","  455,318 ","  264,292 ","  229,910 ","  210,152 ","  267,169 "
2.02,Passivo Não Circulante,"  1,557,219 ","  1,547,248 ","  2,057,349 ","  2,126,673 ","  2,028,525 ","  1,882,071 ","  2,192,908 ","  2,167,388 ","  2,446,312 ","  2,484,115 ","  1,965,957 ","  1,876,901 ","  1,709,100 ","  2,528,789 ","  2,380,354 ","  2,432,182 ","  2,920,978 ","  2,822,456 ","  3,170,626 ","  3,185,051 ","  3,264,350 ","  3,467,515 ","  3,451,941 ","  3,702,273 ","  4,610,631 ","  4,394,119 ","  4,125,897 ","  4,650,027 ","  4,159,644 ","  4,232,500 ","  3,777,533 ","  3,461,032 ","  2,815,892 ","  3,402,636 ","  2,965,058 ","  2,922,452 ","  2,512,589 ","  2,444,325 ","  2,338,568 ","  2,452,116 ","  2,266,630 ","  2,536,855 ","  2,691,175 ","  2,724,139 "
2.02.01,Empréstimos e Financiamentos,"  976,648 ","  968,192 ","  1,445,891 ","  1,503,836 ","  1,399,948 ","  1,251,638 ","  1,567,111 ","  1,491,765 ","  1,756,293 ","  1,769,528 ","  1,325,811 ","  1,256,575 ","  1,044,068 ","  1,878,432 ","  1,721,686 ","  1,773,632 ","  2,286,953 ","  2,192,311 ","  2,530,842 ","  2,554,109 ","  2,615,049 ","  2,799,251 ","  2,720,227 ","  2,972,924 ","  3,868,335 ","  3,636,054 ","  3,355,427 ","  3,887,457 ","  3,408,892 ","  3,443,358 ","  3,001,046 ","  2,652,021 ","  2,041,912 ","  2,537,113 ","  2,169,171 ","  2,118,054 ","  1,723,021 ","  1,490,360 ","  1,424,176 ","  1,509,966 ","  1,348,599 ","  1,597,860 ","  1,657,748 ","  1,673,573 "
2.02.01.01,Empréstimos e Financiamentos,"  976,648 ","  968,192 ","  1,445,891 ","  1,503,836 ","  1,399,948 ","  1,251,638 ","  1,567,111 ","  1,491,765 ","  1,756,293 ","  1,769,528 ","  1,325,811 ","  1,256,575 ","  1,044,068 ","  1,878,432 ","  1,721,686 ","  1,773,632 ","  2,286,953 ","  2,192,311 ","  2,530,842 ","  2,554,109 ","  2,615,049 ","  2,799,251 ","  2,720,227 ","  2,972,924 ","  3,868,335 ","  3,636,054 ","  3,355,427 ","  3,887,457 ","  3,408,892 ","  3,443,358 ","  3,001,046 ","  2,652,021 ","  2,041,912 ","  2,537,113 ","  2,169,171 ","  2,118,054 ","  1,723,021 ","  1,490,360 ","  1,424,176 ","  1,509,966 ","  1,348,599 ","  1,597,860 ","  1,657,748 ","  1,673,573 "
2.02.01.01.01,Em Moeda Nacional,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,747,118 ","  1,707,451 ","  1,653,548 ","  2,232,088 ","  1,887,571 ","  1,957,945 ","  1,545,996 ","  1,357,194 ","  457,386 ","  483,787 ","  432,416 ","  398,939 ","  315,291 ","  287,800 ","  260,303 ","  232,467 ","  107,930 ","  94,409 ","  78,333 ","  62,605 "
